CustomerID,Name,Age,SignupDate,Location,Email,TotalSpent,NumOrders,IsSubscribed,AgeGroup,AvgOrderValue,TenureDays
de78cf38,Amber Reese,56,2025-01-19,Gutierrezport,andrew58@gmail.com,4829.88,23,False,46-60,209.99478260869566,211
0169afb5,Ashley Chandler,69,2025-07-13,Dorothymouth,ytrujillo@barajas.net,4051.57,24,True,61+,168.81541666666666,36
c50316e8,Nichole Davies,46,2024-03-06,Port David,rburke@hotmail.com,1557.84,5,True,46-60,311.568,530
87310bf8,Dakota Nelson,32,2024-12-12,Camachoside,davidschaefer@gmail.com,533.48,3,False,31-45,177.82666666666668,249
64d622bc,Haley Hansen,60,2025-03-01,North Sarah,austinashley@abbott-payne.com,3436.95,12,True,46-60,286.41249999999997,170
4dcf3c86,Lisa Proctor DDS,25,2025-04-09,South Michael,sanchezjennifer@skinner.com,2228.75,8,True,18-30,278.59375,131
1bb75e35,Curtis Benton,38,2024-06-17,Jessicaport,rchapman@gmail.com,654.09,22,True,31-45,29.73136363636364,427
c10433d8,Charles Hess,56,2025-02-06,New Julie,lucerokelly@wade.biz,2501.13,3,True,46-60,833.71,193
25e31d15,Barbara Brady,36,2024-07-26,Nobleshire,tyoung@carter-moyer.com,220.22,1,False,31-45,220.22,388
b85ed570,Matthew Garcia,40,2025-05-02,Port Tamarahaven,taylorpaul@yahoo.com,4551.14,3,True,31-45,1517.0466666666669,108
f9520240,Pamela Martin,28,2025-07-29,Mccormicktown,katherinemckinney@lopez.com,1330.96,5,False,18-30,266.192,20
40a1dac8,Peter Smith,28,2024-10-28,Lake Leah,sandrajackson@davis-smith.biz,3329.49,15,True,18-30,221.96599999999998,294
eff9d814,Kristen Roman,41,2025-04-26,Garciaton,jeffreyanderson@watts-pitts.com,1592.97,14,True,31-45,113.78357142857143,114
faeb241e,Miranda Brennan,53,2024-12-09,South Sandrafurt,pgray@gmail.com,2624.34,3,True,46-60,874.7800000000001,252
cfcb0e59,Sarah Watson,57,2023-11-18,Zacharyfurt,thomasmullins@martinez.org,2756.22,1,True,46-60,2756.22,639
e96091cd,Sandra Davis,41,2024-12-16,Port Marthaton,xreed@vargas.org,965.03,5,False,31-45,193.006,245
470ae57d,Stephanie Adams,20,2025-07-02,East Carolyn,amandawhite@yahoo.com,4849.44,23,False,18-30,210.84521739130432,47
6b3e257c,Jessica Davis,39,2025-04-29,Leeburgh,keith57@daniels.com,3886.91,14,True,31-45,277.63642857142855,111
d5a3728d,Robert Johnson,19,2023-09-13,Jeremiahbury,finleyandrew@gmail.com,4700.52,7,True,18-30,671.5028571428572,705
91d13a2d,Steven Lucas,41,2024-04-05,North Maria,wolfelizabeth@yahoo.com,4479.4,9,False,31-45,497.71111111111105,500
